noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
wavelet,none,x,none,none,wavelet,"0,03641","43,841128","6,523847","30,750089","43,841128","16,830343"
wavelet,none,x,smooth,none,wavelet,"0,03641","43,841128","6,523847","30,750089","43,841128","16,830343"
wavelet,none,x,bandpass,none,wavelet,"0,03641","43,841128","6,523847","30,750089","43,841128","16,830343"
wavelet,none,x,wavelet,none,wavelet,"0,03641","43,841128","6,523847","30,750089","43,841128","16,830343"
none,ica,xz,none,none,wavelet,"1,61672","18,152048","6,573853","17,779076","18,152048","10,892517"
none,ica,xz,smooth,none,wavelet,"1,61672","18,152048","6,573853","17,779076","18,152048","10,892517"
none,ica,xz,bandpass,none,wavelet,"1,61672","18,152048","6,573853","17,779076","18,152048","10,892517"
none,ica,xz,wavelet,none,wavelet,"1,61672","18,152048","6,573853","17,779076","18,152048","10,892517"
bandpass,ica,x,none,abs,corr,"1,226561","20,868594","6,602183","20,500055","20,868594","11,579246"
bandpass,ica,x,smooth,abs,corr,"1,226561","20,868594","6,602183","20,500055","20,868594","11,579246"
bandpass,ica,x,bandpass,abs,corr,"1,226561","20,868594","6,602183","20,500055","20,868594","11,579246"
bandpass,ica,x,wavelet,abs,corr,"1,226561","20,868594","6,602183","20,500055","20,868594","11,579246"
smooth,none,y,none,none,wavelet,"1,395501","59,422765","6,624542","45,473025","59,422765","21,624623"
smooth,none,y,smooth,none,wavelet,"1,395501","59,422765","6,624542","45,473025","59,422765","21,624623"
smooth,none,y,bandpass,none,wavelet,"1,395501","59,422765","6,624542","45,473025","59,422765","21,624623"
smooth,none,y,wavelet,none,wavelet,"1,395501","59,422765","6,624542","45,473025","59,422765","21,624623"
smooth,pca,xy,none,abs,wavelet,"0,523662","60,911658","6,673436","29,447838","60,911658","19,747446"
smooth,pca,xy,smooth,abs,wavelet,"0,523662","60,911658","6,673436","29,447838","60,911658","19,747446"
smooth,pca,xy,bandpass,abs,wavelet,"0,523662","60,911658","6,673436","29,447838","60,911658","19,747446"
smooth,pca,xy,wavelet,abs,wavelet,"0,523662","60,911658","6,673436","29,447838","60,911658","19,747446"
wavelet,none,xz,none,none,corr,"0,970449","22,263946","6,713091","21,084552","22,263946","12,690861"
wavelet,none,xz,smooth,none,corr,"0,970449","22,263946","6,713091","21,084552","22,263946","12,690861"
wavelet,none,xz,bandpass,none,corr,"0,970449","22,263946","6,713091","21,084552","22,263946","12,690861"
wavelet,none,xz,wavelet,none,corr,"0,970449","22,263946","6,713091","21,084552","22,263946","12,690861"
smooth,ica,y,none,abs,wavelet,"0,535319","61,157159","6,751786","45,22996","61,157159","22,134046"
smooth,ica,y,smooth,abs,wavelet,"0,535319","61,157159","6,751786","45,22996","61,157159","22,134046"
smooth,ica,y,bandpass,abs,wavelet,"0,535319","61,157159","6,751786","45,22996","61,157159","22,134046"
smooth,ica,y,wavelet,abs,wavelet,"0,535319","61,157159","6,751786","45,22996","61,157159","22,134046"
bandpass,none,xyz,none,none,corr,"0,01797","18,33069","6,788283","15,587386","18,33069","9,017815"
bandpass,none,xyz,smooth,none,corr,"0,01797","18,33069","6,788283","15,587386","18,33069","9,017815"
bandpass,none,xyz,bandpass,none,corr,"0,01797","18,33069","6,788283","15,587386","18,33069","9,017815"
bandpass,none,xyz,wavelet,none,corr,"0,01797","18,33069","6,788283","15,587386","18,33069","9,017815"
bandpass,pca,xy,none,none,corr,"1,992521","16,744281","6,814975","14,755224","16,744281","9,13329"
bandpass,pca,xy,smooth,none,corr,"1,992521","16,744281","6,814975","14,755224","16,744281","9,13329"
bandpass,pca,xy,bandpass,none,corr,"1,992521","16,744281","6,814975","14,755224","16,744281","9,13329"
bandpass,pca,xy,wavelet,none,corr,"1,992521","16,744281","6,814975","14,755224","16,744281","9,13329"
